unit_type,carpet_sqft,deck_sqft,rate_psf,agreement_inr,stamp_reg_inr,gst_inr,other_inr,all_in_inr,eff_psf,loading_pct,loan75_inr,emi_7p5_20y_inr
3 BHK standard A,1120,55,55000,61600000,3726000,3080000,2361800,70767800,63186,14.9,46200000,372000
3 BHK standard B,1180,55,55000,64900000,3924000,3245000,2385200,74454200,63097,14.7,48675000,392000
3 BHK large,1560,200,55000,85800000,5178000,4290000,2533400,97801400,62693,14.0,64350000,518000
4 BHK standard,1740,200,55000,95700000,5772000,4785000,2603600,108860600,62564,13.8,71775000,578000
4 BHK XL,2360,200,55000,129800000,7818000,6490000,2845400,146953400,62268,13.2,97350000,784000
